100 150 120
70 210
47 12 57 4
1 20 6 3 9
2 83 9 6 18
2 33 30 6 18
3 14 15 2 6
4 90 8 1 3
4 76 11 3 9
5 18 18 2 6
6 35 7 4 12
7 57 15 2 6
9 47 7 2 6
10 85 26 6 18
11 75 14 6 18
12 49 29 4 12
13 49 24 5 15
13 54 13 1 3
14 64 10 2 6
15 99 5 5 15
17 62 12 1 3
18 45 6 1 3
18 68 27 5 15
18 61 18 2 6
19 87 13 4 12
19 55 9 2 6
19 53 17 6 18
21 46 5 3 9
22 27 6 4 12
22 31 11 3 9
25 73 15 2 6
25 75 8 4 12
26 30 30 3 9
27 97 5 2 6
27 49 25 5 15
27 82 22 4 12
28 62 26 2 6
29 53 14 6 18
31 83 19 6 18
31 35 27 6 18
32 95 25 5 15
32 51 18 6 18
33 44 7 3 9
34 66 21 5 15
35 77 19 3 9
36 37 22 1 3
39 60 6 4 12
42 68 6 5 15
43 77 28 6 18
43 72 25 1 3
44 58 6 2 6
47 51 13 2 6
48 80 28 6 18
48 67 24 4 12
49 88 11 5 15
50 97 18 6 18
51 90 14 4 12
52 55 14 4 12
52 61 28 3 9
53 65 24 6 18
54 59 14 5 15
56 87 18 6 18
56 64 19 5 15
58 90 14 1 3
59 68 15 4 12
60 78 24 4 12
60 73 6 4 12
61 85 23 1 3
62 97 20 6 18
63 78 28 2 6
64 83 25 2 6
65 70 18 6 18
65 77 13 2 6
66 68 7 2 6
67 88 5 6 18
68 71 8 5 15
68 70 24 3 9
69 85 18 5 15
70 98 10 1 3
71 94 25 4 12
71 77 17 3 9
72 75 23 6 18
73 93 10 1 3
73 99 30 5 15
75 91 14 5 15
75 78 30 1 3
75 97 22 2 6
76 85 10 6 18
76 87 27 3 9
77 79 14 1 3
79 85 5 1 3
79 83 15 5 15
80 85 13 5 15
80 89 26 3 9
81 83 25 5 15
81 100 10 4 12
82 90 12 6 18
83 89 29 2 6
84 94 14 5 15
85 94 15 6 18
86 88 8 5 15
86 93 20 6 18
86 97 7 4 12
86 100 28 6 18
87 97 10 5 15
88 91 27 2 6
88 100 29 3 9
89 95 11 1 3
89 94 12 5 15
89 97 12 5 15
90 97 26 3 9
91 93 14 5 15
92 97 16 2 6
92 99 9 5 15
93 98 26 4 12
93 98 7 3 9
93 99 13 2 6
94 95 21 1 3
95 99 15 5 15
96 99 23 5 15
97 98 7 5 15
98 100 8 5 15
99 100 25 5 15
64 79 27 0 0
71 83 27 0 0
8 44 20 0 0
41 64 6 0 0
53 63 13 0 0
12 94 7 0 0
86 89 9 0 0
17 85 16 0 0
62 86 17 0 0
20 72 7 0 0
97 98 23 0 0
61 81 19 0 0
40 61 13 0 0
46 61 22 0 0
74 92 17 0 0
43 66 29 0 0
37 79 8 0 0
23 32 28 0 0
47 53 15 0 0
55 95 17 0 0
57 97 7 0 0
76 90 23 0 0
38 53 10 0 0
42 80 13 0 0
45 82 15 0 0
78 86 14 0 0
14 43 24 0 0
24 78 20 0 0
30 88 18 0 0
16 25 10 0 0
