150 200 160
60 60 120
86 85 100 90 142
1 122 29 3 3 6
2 56 5 4 4 8
2 89 13 2 2 4
3 133 13 3 3 6
3 129 6 6 6 12
3 25 15 3 3 6
5 102 22 6 6 12
6 37 23 6 6 12
9 100 30 3 3 6
11 95 28 2 2 4
13 18 14 5 5 10
13 95 18 2 2 4
15 97 15 4 4 8
16 126 9 4 4 8
19 104 18 2 2 4
20 55 25 3 3 6
23 27 26 5 5 10
24 88 12 6 6 12
25 35 8 6 6 12
26 51 21 4 4 8
27 72 10 3 3 6
27 52 23 6 6 12
27 136 22 2 2 4
28 134 9 6 6 12
29 98 21 5 5 10
30 102 9 1 1 2
30 79 6 2 2 4
31 140 15 1 1 2
32 87 23 1 1 2
33 134 20 5 5 10
34 149 15 4 4 8
35 96 9 4 4 8
36 100 13 3 3 6
37 134 15 5 5 10
37 115 13 5 5 10
38 56 15 6 6 12
39 96 30 4 4 8
40 140 13 4 4 8
42 60 29 2 2 4
43 66 12 2 2 4
45 114 30 6 6 12
45 68 23 3 3 6
46 81 12 2 2 4
47 93 21 3 3 6
48 109 11 5 5 10
48 129 9 1 1 2
49 144 16 4 4 8
49 109 29 4 4 8
50 76 19 1 1 2
51 74 28 3 3 6
54 120 24 1 1 2
54 110 22 4 4 8
55 100 8 3 3 6
56 136 25 5 5 10
57 144 7 5 5 10
58 96 18 5 5 10
59 77 24 1 1 2
60 97 22 5 5 10
60 97 5 4 4 8
61 95 29 3 3 6
62 147 16 1 1 2
62 142 20 6 6 12
63 137 20 5 5 10
64 66 17 6 6 12
65 81 15 5 5 10
66 115 30 2 2 4
67 108 20 5 5 10
68 97 16 3 3 6
69 143 13 2 2 4
70 79 24 4 4 8
71 98 18 4 4 8
72 112 21 1 1 2
73 115 16 3 3 6
74 145 21 4 4 8
75 113 20 6 6 12
75 119 12 3 3 6
76 145 15 6 6 12
77 124 26 5 5 10
78 117 12 6 6 12
79 107 29 5 5 10
80 91 29 4 4 8
82 101 6 1 1 2
83 107 5 1 1 2
84 138 26 4 4 8
85 139 15 6 6 12
86 140 7 4 4 8
87 94 20 2 2 4
88 142 30 5 5 10
89 102 25 4 4 8
89 116 30 4 4 8
89 100 22 2 2 4
90 136 15 1 1 2
91 130 8 1 1 2
92 106 30 2 2 4
92 108 26 5 5 10
92 128 18 5 5 10
94 135 10 4 4 8
95 121 14 5 5 10
96 136 25 5 5 10
96 111 18 2 2 4
97 117 5 2 2 4
97 125 18 2 2 4
98 118 22 3 3 6
98 146 13 3 3 6
100 110 22 3 3 6
101 123 10 4 4 8
102 118 9 6 6 12
102 139 17 1 1 2
104 115 12 2 2 4
104 108 5 4 4 8
105 129 25 5 5 10
106 144 5 1 1 2
107 148 21 5 5 10
108 133 23 5 5 10
109 150 5 5 5 10
110 116 26 4 4 8
111 140 25 5 5 10
112 125 12 4 4 8
113 140 21 1 1 2
114 145 24 6 6 12
115 125 14 2 2 4
116 128 7 3 3 6
117 118 16 3 3 6
118 121 23 6 6 12
119 137 8 6 6 12
120 148 22 6 6 12
120 149 14 6 6 12
121 125 30 2 2 4
122 144 21 2 2 4
122 145 30 4 4 8
123 149 20 4 4 8
124 127 9 6 6 12
125 143 6 3 3 6
126 131 15 2 2 4
127 142 28 1 1 2
127 138 18 2 2 4
128 133 17 5 5 10
130 144 9 5 5 10
131 150 16 4 4 8
132 138 19 2 2 4
134 140 7 3 3 6
135 138 11 1 1 2
135 141 24 4 4 8
136 150 10 2 2 4
136 140 8 6 6 12
136 137 24 2 2 4
138 150 14 3 3 6
138 145 12 2 2 4
139 150 13 3 3 6
140 148 28 5 5 10
141 145 14 6 6 12
142 147 16 3 3 6
142 145 14 1 1 2
143 147 21 1 1 2
144 148 12 2 2 4
145 149 8 3 3 6
146 149 28 2 2 4
147 148 18 3 3 6
148 149 16 5 5 10
149 150 7 6 6 12
119 143 26 0 0 0
132 136 8 0 0 0
136 141 29 0 0 0
93 122 19 0 0 0
39 80 16 0 0 0
86 114 9 0 0 0
99 123 15 0 0 0
137 140 30 0 0 0
133 136 27 0 0 0
67 97 29 0 0 0
22 148 16 0 0 0
27 46 14 0 0 0
129 135 23 0 0 0
4 149 26 0 0 0
52 99 29 0 0 0
41 105 21 0 0 0
53 133 25 0 0 0
7 57 26 0 0 0
118 148 28 0 0 0
117 118 13 0 0 0
21 26 15 0 0 0
125 140 5 0 0 0
12 141 15 0 0 0
8 25 24 0 0 0
44 101 20 0 0 0
141 145 16 0 0 0
10 131 12 0 0 0
18 48 9 0 0 0
81 112 30 0 0 0
68 114 10 0 0 0
111 149 11 0 0 0
17 93 25 0 0 0
61 104 15 0 0 0
24 100 6 0 0 0
88 111 8 0 0 0
101 116 24 0 0 0
5 10 6 0 0 0
14 119 18 0 0 0
4 114 11 0 0 0
103 120 6 0 0 0
